author,n_seed_dois_cited,n_citing_works,seed_dois
Xuran Zeng,1,1,10.3386/w31137
Y Ishida,1,1,10.3386/w31208
Y. Jaya Krishna,1,1,10.3386/w23928
Y. V. Pavan Kumar,1,1,10.3386/w32450
Y. Wan,1,1,10.3386/w28726
Ya Tan,1,1,10.1257/aer.20221215
Ya-Qin Zhang,1,1,10.48550/arxiv.2305.07153
Yahaya Alhassan,1,1,10.3386/w23928
Yamuna Mundru,1,1,10.3386/w31208
Yan Lou,1,1,10.1257/aer.20221215
Yan Song,1,1,10.1257/aer.20221215
Yan Xia,1,1,10.3386/w23928
Yanan Wu,1,1,10.3386/w23928
Yanfang Jin,1,1,10.1257/aer.20221215
Yang Lian,1,1,10.3386/w23928
Yang Shen,1,1,10.3386/w23928
Yang Yue,1,1,10.3386/w23929
Yangyang Xu,1,1,10.3386/w32450
Yanliu Lin,1,1,10.1257/aer.20221215
Yanqiu Lu,1,1,10.1257/aer.20221215
Yanqiu Wang,1,1,10.3386/w23928
Yanyan Shen,1,1,10.1257/aer.20221215
Yanying Wang,1,1,10.3386/w23928
Yao Yao,1,1,10.1257/aer.20221215
Yao Zhang,1,1,10.1257/aer.20221215
Yaobin Liu,1,1,10.1257/aer.20221215
Yasir Ahmad,1,1,10.48550/arxiv.2305.07153
Yaya Li,1,1,10.1257/aer.20221215
Yazhou Liu,1,1,10.1257/aer.20221215
Ye Shu,1,1,10.1257/aer.20221215
Ye.V. Hirnyk,1,1,10.3386/w23928
Yejie Zheng,1,1,10.3386/w23928
Yejin Park,1,1,10.3386/w23928
Yelin Fu,1,1,10.1257/aer.20221215
Yi Deng,1,1,10.1257/aer.20221215
Yi He,1,1,10.3386/w32450
Yi Lu,1,1,10.1257/aer.20221215
Yi Qu,1,1,10.3386/w23928
Yi Shi,1,1,10.1257/aer.20221215
Yi Song,1,1,10.1257/aer.20221215
Yibing Ding,1,1,10.3386/w23928
Yifan Wu,1,1,10.3386/w23928
Yifang Ma,1,1,10.48550/arxiv.2107.06476
Yifei Quan,1,1,10.3386/w32728
Yihao Zhao,1,1,10.3386/w31137
Yihua Yu,1,1,10.3386/w23928
Yile Jiang,1,1,10.1257/aer.20221215
Yimin Wang,1,1,10.1257/pandp.20201017
Yiming Tang,1,1,10.3386/w30011
Yiming Yuan,1,1,10.3386/w23928
Yin Da,1,1,10.3386/w23928
Ying Jiang,1,1,10.3386/w32450
Ying Liu,1,1,10.1257/aer.20221215
Ying Tuan Lo,1,1,10.3386/w23928
Yingchun Xing,1,1,10.3386/w23928
Yingjia Zhai,1,1,10.1257/aer.20221215
Yingjie Xu,1,1,10.3386/w23928
Yingming Zhu,1,1,10.1257/aer.20221215
Yingnan Zhai,1,1,10.3386/w23928
Yingshui Yao,1,1,10.3386/w31899
Yingtong Chen,1,1,10.3386/w31137
Yingxue Sun,1,1,10.1257/aer.20221215
Yingying Hu,1,1,10.1257/aer.20221215
Yingying Xu,1,1,10.3386/w23928
Yinhe Liang,1,1,10.1257/aer.20221215
Yining Zhang,1,1,10.3386/w23928
Yinna Chen,1,1,10.1257/aer.20221215
Yiwen Sun,1,1,10.3386/w23928
Yixin Dai,1,1,10.1257/aer.20221215
Yixin Liu,1,1,10.3386/w23928
Yogesh K. Dwivedi,1,1,10.3386/w23928
Yogita Shamdasani,1,1,10.3386/w23929
Yoko Ibuka,1,1,10.3386/w31162
Yong Qin,1,1,10.3386/w23928
Yong Sun,1,1,10.1257/aer.20221215
Yong Zhao,1,1,10.3386/w23928
Yongping Wei,1,1,10.3386/w26752
Yongsheng Xu,1,1,10.3386/w31137
Yongwei Chen,1,1,10.3386/w23928
Yongzeng Lai,1,1,10.1257/aer.20221215
Yoon Ah Shin,1,1,10.3386/w32450
Yoshua Bengio,1,1,10.48550/arxiv.2305.07153
Youjia Liang,1,1,10.3386/w31137
Young‐Eun Kim,1,1,10.3386/w23928
Young‐Min Lee,1,1,10.3386/w23929
Youwei Li,1,1,10.3386/w23928
Yu Diao,1,1,10.1257/aer.20221215
Yu Hao,1,1,10.3386/w23928
Yu Long,1,1,10.3386/w23928
Yu Luo,1,1,10.3386/w31554
Yu Peng,1,1,10.3386/w23928
Yu Sang Chang,1,1,10.3386/w23928
Yu Shui,1,1,10.3386/w23928
Yu Xie,1,1,10.1257/aer.20221215
Yuanyuan Yi,1,1,10.21203/rs.3.rs-3235955/v1
Yue Li,1,1,10.1257/aer.20221215
Yue Lv,1,1,10.3386/w23928
Yuechuan Zhao,1,1,10.1257/aer.20221215
Yugang He,1,1,10.3386/w23928
Yuhan Zhou,1,1,10.3386/w31137
Yujie Liu,1,1,10.1257/aer.20221215
Yujing Ma,1,1,10.1257/aer.20221215
Yujun Huang,1,1,10.3386/w31137
Yukun Shi,1,1,10.3386/w32450
Yuling Hu,1,1,10.3386/w23928
Yuming Zhai,1,1,10.3386/w23928
Yun Zhang,1,1,10.3386/w23928
Yunhong Lyu,1,1,10.3386/w31554
Yunqian Cheng,1,1,10.1257/aer.20221215
Yurui Huang,1,1,10.48550/arxiv.2107.06476
Yusuf Neggers,1,1,10.3386/w23929
Yuta J. Masuda,1,1,10.1257/aer.20221215
Yuting Shen,1,1,10.3386/w23928
Yutong Xie,1,1,10.3386/w23928
Yuval Noah Harari,1,1,10.48550/arxiv.2305.07153
Yuxuan Wang,1,1,10.3386/w23928
Yuyu Chen,1,1,10.3386/w23929
Yves Schaeffer,1,1,10.3386/w31554
Zacharias Sautner,1,1,10.3386/w31137
Zafar Fatmi,1,1,10.1093/wbro/lkae010
Zafeer Ravat,1,1,10.1257/pandp.20201017
Zakaria Seidu,1,1,10.1093/wbro/lkae010
Zarif Bin Akhtar,1,1,10.48550/arxiv.2305.07153
Zeeshan Khan,1,1,10.3386/w23928
Zehua Chen,1,1,10.1257/aer.20221215
Zehui Bu,1,1,10.1257/aer.20221215
Zelalem Terfa,1,1,10.3386/w28726
Zenghui Li,1,1,10.1257/aer.20221215
Zeshui Xu,1,1,10.3386/w23928
Zeynep Karaş,1,1,10.3386/w23928
Zhanzhong Shi,1,1,10.3386/w23928
Zhao Jin,1,1,10.3386/w23928
Zhao Liu,1,1,10.1257/aer.20221215
Zhehong Xu,1,1,10.1257/aer.20221215
Zhen Li,1,1,10.1257/aer.20221215
Zhen Pang,1,1,10.3386/w23928
Zheng Ji,1,1,10.3386/w23928
Zhenhua Wu,1,1,10.1257/aer.20221215
Zhenzhong Zeng,1,1,10.1257/aer.20221215
Zhichen Huang,1,1,10.1257/aer.20221215
Zhidan Yang,1,1,10.3386/w23928
Zhifang Su,1,1,10.3386/w23928
Zhijiu Yang,1,1,10.1257/aer.20221215
Zhiqiang Zhang,1,1,10.1257/aer.20221215
Zhiqiao Xiong,1,1,10.1257/aer.20221215
Zhirong Zheng,1,1,10.1257/aer.20221215
Zhiwei Tang,1,1,10.3386/w23928
Zhiyi Liu,1,1,10.3386/w23928
Zhiyuan Chen,1,1,10.1257/aer.20221215
Zhizhuo Li,1,1,10.3386/w23928
Zhonghua Cheng,1,1,10.3386/w23928
Zhongjian Lin,1,1,10.3386/w28726
Zhou Jian-ping,1,1,10.1257/aer.20221215
Zhu Yi,1,1,10.3386/w23928
Zhuo Wu,1,1,10.1257/aer.20221215
Zijun Li,1,1,10.1257/aer.20221215
Zishen Tang,1,1,10.1257/aer.20221215
Ziyan Zhang,1,1,10.3386/w26752
Zoe Cremer,1,1,10.1016/j.cognition.2021.104941
Zuoxiang Zhao,1,1,10.1257/aer.20221215
Zuraidah Sulaiman,1,1,10.3386/w23928
Zwetelina Iliewa,1,1,10.3386/w32073
nasir khan khattak,1,1,10.3386/w31137
Álvaro Choi,1,1,10.3386/w23928
Élisabeth Sadoulet,1,1,10.3386/w28726
Éric Maurin,1,1,10.3386/w23928
Óscar Vicente-Chirivella,1,1,10.3386/w31899
Önder Nomaler,1,1,10.3386/w23928
Đông Đỗ Thị,1,1,10.3386/w23928
İrem Erten,1,1,10.3386/w31137
Łukasz Gajewski,1,1,10.1016/j.ijdrr.2022.102798
Željko Tekić,1,1,10.3386/w23928
Εvanthia Sakellari,1,1,10.3386/w31899
Κωνσταντίνα Κανελλοπούλου,1,1,10.3386/w23928
Ірина Дьогтєва,1,1,10.3386/w31409
Анатолій Антонович Шиян,1,1,10.3386/w31409
В. М. Семенова,1,1,10.3386/w28726
Венелин Терзиев,1,1,10.3386/w23928
Е. Г. Ильин,1,1,10.1016/j.ijdrr.2022.102798
Е.В. Шамалова,1,1,10.3386/w23928
Рубен Ениколопов,1,1,10.3386/w33018
Сергій Жарінов,1,1,10.3386/w31409
海立 刘,1,1,10.3386/w23928
辰史 山形,1,1,10.1257/pandp.20201017
